Sales Person,Country,Product,Date,Amount,Boxes Shipped,3%,5%,First Name,Second Name
Gunar Cockshoot,USA,Spicy Special Slims,17-02-22,"$1,267.00 ",157,$38.01 ,$63.35 ,Gunar,Cockshoot
Marney O'Breen,USA,After Nines,30-05-22,"$4,753.00 ",163,$142.59 ,$237.65 ,Marney,O'Breen
Husein Augar,UK,Drinking Coco,14-03-22,"$3,003.00 ",113,$90.09 ,$150.15 ,Husein,Augar
Kaine Padly,Australia,Eclairs,28-02-22,"$7,672.00 ",115,$230.16 ,$383.60 ,Kaine,Padly
Karlen McCaffrey,India,Fruit & Nut Bars,26-01-22,$168.00 ,321,$5.04 ,$8.40 ,Karlen,McCaffrey
Roddy Speechley,Canada,Spicy Special Slims,09-02-22,"$1,652.00 ",186,$49.56 ,$82.60 ,Roddy,Speechley
Husein Augar,USA,Eclairs,07-07-22,"$4,025.00 ",112,$120.75 ,$201.25 ,Husein,Augar
Dennison Crosswaite,New Zealand,White Choc,05-07-22,"$9,492.00 ",151,$284.76 ,$474.60 ,Dennison,Crosswaite
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15-06-22,"$5,061.00 ",301,$151.83 ,$253.05 ,Dennison,Crosswaite
Van Tuxwell,New Zealand,85% Dark Bars,24-05-22,"$1,722.00 ",121,$51.66 ,$86.10 ,Van,Tuxwell
Rafaelita Blaksland,UK,99% Dark & Pure,29-06-22,"$12,446.00 ",150,$373.38 ,$622.30 ,Rafaelita,Blaksland
Wilone O'Kielt,Australia,Manuka Honey Choco,11-05-22,"$4,284.00 ",94,$128.52 ,$214.20 ,Wilone,O'Kielt
Karlen McCaffrey,UK,Almond Choco,30-06-22,"$6,839.00 ",133,$205.17 ,$341.95 ,Karlen,McCaffrey
Andria Kimpton,Canada,After Nines,11-05-22,"$2,163.00 ",70,$64.89 ,$108.15 ,Andria,Kimpton
Roddy Speechley,USA,Manuka Honey Choco,22-07-22,"$9,583.00 ",315,$287.49 ,$479.15 ,Roddy,Speechley
Andria Kimpton,UK,50% Dark Bites,24-08-22,"$2,653.00 ",314,$79.59 ,$132.65 ,Andria,Kimpton
Kelci Walkden,New Zealand,After Nines,07-07-22,$147.00 ,72,$4.41 ,$7.35 ,Kelci,Walkden
Camilla Castle,Australia,85% Dark Bars,19-05-22,"$3,654.00 ",14,$109.62 ,$182.70 ,Camilla,Castle
Karlen McCaffrey,India,Manuka Honey Choco,04-07-22,"$2,443.00 ",581,$73.29 ,$122.15 ,Karlen,McCaffrey
Kelci Walkden,USA,After Nines,02-06-22,$938.00 ,16,$28.14 ,$46.90 ,Kelci,Walkden
Karlen McCaffrey,USA,Raspberry Choco,15-04-22,"$14,749.00 ",354,$442.47 ,$737.45 ,Karlen,McCaffrey
Mallorie Waber,Canada,Choco Coated Almonds,11-07-22,"$4,781.00 ",241,$143.43 ,$239.05 ,Mallorie,Waber
Andria Kimpton,India,Spicy Special Slims,23-02-22,"$6,307.00 ",142,$189.21 ,$315.35 ,Andria,Kimpton
Madelene Upcott,Canada,Almond Choco,22-08-22,"$7,602.00 ",102,$228.06 ,$380.10 ,Madelene,Upcott
Kaine Padly,USA,Peanut Butter Cubes,16-02-22,"$6,790.00 ",188,$203.70 ,$339.50 ,Kaine,Padly
Van Tuxwell,USA,50% Dark Bites,13-01-22,"$9,737.00 ",160,$292.11 ,$486.85 ,Van,Tuxwell
Curtice Advani,Australia,Milk Bars,14-02-22,"$6,979.00 ",18,$209.37 ,$348.95 ,Curtice,Advani
Roddy Speechley,India,Eclairs,10-06-22,"$4,382.00 ",303,$131.46 ,$219.10 ,Roddy,Speechley
Curtice Advani,India,Fruit & Nut Bars,07-07-22,"$5,243.00 ",176,$157.29 ,$262.15 ,Curtice,Advani
Curtice Advani,Canada,Almond Choco,24-03-22,"$4,865.00 ",70,$145.95 ,$243.25 ,Curtice,Advani
Brien Boise,Australia,Fruit & Nut Bars,06-06-22,"$8,575.00 ",23,$257.25 ,$428.75 ,Brien,Boise
Dotty Strutley,Australia,Drinking Coco,19-07-22,$91.00 ,135,$2.73 ,$4.55 ,Dotty,Strutley
Beverie Moffet,USA,Raspberry Choco,19-04-22,"$14,798.00 ",83,$443.94 ,$739.90 ,Beverie,Moffet
Marney O'Breen,India,85% Dark Bars,19-07-22,"$2,205.00 ",179,$66.15 ,$110.25 ,Marney,O'Breen
Jehu Rudeforth,Canada,Drinking Coco,15-07-22,$441.00 ,24,$13.23 ,$22.05 ,Jehu,Rudeforth
Ches Bonnell,New Zealand,Spicy Special Slims,14-02-22,"$3,556.00 ",18,$106.68 ,$177.80 ,Ches,Bonnell
Brien Boise,Canada,99% Dark & Pure,18-05-22,"$16,793.00 ",416,$503.79 ,$839.65 ,Brien,Boise
Barr Faughny,Australia,Fruit & Nut Bars,30-06-22,"$15,421.00 ",55,$462.63 ,$771.05 ,Barr,Faughny
Andria Kimpton,Australia,50% Dark Bites,02-06-22,"$4,438.00 ",227,$133.14 ,$221.90 ,Andria,Kimpton
Andria Kimpton,Australia,Drinking Coco,28-06-22,"$1,603.00 ",48,$48.09 ,$80.15 ,Andria,Kimpton
Marney O'Breen,Australia,Organic Choco Syrup,16-05-22,$273.00 ,174,$8.19 ,$13.65 ,Marney,O'Breen
Kelci Walkden,Canada,Baker's Choco Chips,26-05-22,"$3,073.00 ",302,$92.19 ,$153.65 ,Kelci,Walkden
Karlen McCaffrey,India,Almond Choco,06-07-22,"$6,090.00 ",149,$182.70 ,$304.50 ,Karlen,McCaffrey
Oby Sorrel,India,99% Dark & Pure,27-05-22,"$10,255.00 ",11,$307.65 ,$512.75 ,Oby,Sorrel
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14-04-22,"$2,030.00 ",11,$60.90 ,$101.50 ,Wilone,O'Kielt
Van Tuxwell,Australia,Organic Choco Syrup,10-08-22,"$19,453.00 ",14,$583.59 ,$972.65 ,Van,Tuxwell
Camilla Castle,India,50% Dark Bites,04-07-22,"$9,275.00 ",411,$278.25 ,$463.75 ,Camilla,Castle
Oby Sorrel,India,Organic Choco Syrup,08-07-22,"$6,181.00 ",56,$185.43 ,$309.05 ,Oby,Sorrel
Jan Morforth,USA,Peanut Butter Cubes,22-07-22,"$9,037.00 ",102,$271.11 ,$451.85 ,Jan,Morforth
Gigi Bohling,USA,Choco Coated Almonds,02-03-22,"$12,313.00 ",103,$369.39 ,$615.65 ,Gigi,Bohling
Gigi Bohling,UK,Almond Choco,10-01-22,"$5,642.00 ",9,$169.26 ,$282.10 ,Gigi,Bohling
Jehu Rudeforth,New Zealand,White Choc,11-03-22,"$2,800.00 ",241,$84.00 ,$140.00 ,Jehu,Rudeforth
Andria Kimpton,New Zealand,Peanut Butter Cubes,20-06-22,$959.00 ,265,$28.77 ,$47.95 ,Andria,Kimpton
Van Tuxwell,UK,Organic Choco Syrup,26-08-22,"$2,002.00 ",214,$60.06 ,$100.10 ,Van,Tuxwell
Roddy Speechley,Canada,Milk Bars,13-07-22,$609.00 ,32,$18.27 ,$30.45 ,Roddy,Speechley
Camilla Castle,USA,Spicy Special Slims,11-02-22,"$1,274.00 ",244,$38.22 ,$63.70 ,Camilla,Castle
Marney O'Breen,USA,Orange Choco,27-01-22,"$7,595.00 ",181,$227.85 ,$379.75 ,Marney,O'Breen
Van Tuxwell,UK,99% Dark & Pure,31-01-22,"$4,725.00 ",137,$141.75 ,$236.25 ,Van,Tuxwell
Camilla Castle,USA,White Choc,18-08-22,"$9,681.00 ",24,$290.43 ,$484.05 ,Camilla,Castle
Andria Kimpton,USA,Raspberry Choco,30-06-22,"$14,504.00 ",21,$435.12 ,$725.20 ,Andria,Kimpton
Dotty Strutley,Australia,Fruit & Nut Bars,23-08-22,$280.00 ,311,$8.40 ,$14.00 ,Dotty,Strutley
Brien Boise,New Zealand,Mint Chip Choco,01-08-22,$63.00 ,181,$1.89 ,$3.15 ,Brien,Boise
Roddy Speechley,New Zealand,After Nines,25-05-22,"$8,001.00 ",10,$240.03 ,$400.05 ,Roddy,Speechley
Roddy Speechley,Canada,Organic Choco Syrup,10-01-22,"$4,032.00 ",82,$120.96 ,$201.60 ,Roddy,Speechley
Dennison Crosswaite,Australia,70% Dark Bites,07-02-22,"$5,859.00 ",108,$175.77 ,$292.95 ,Dennison,Crosswaite
Karlen McCaffrey,USA,Orange Choco,12-05-22,"$11,095.00 ",401,$332.85 ,$554.75 ,Karlen,McCaffrey
Madelene Upcott,Australia,Spicy Special Slims,07-03-22,"$7,182.00 ",408,$215.46 ,$359.10 ,Madelene,Upcott
Dennison Crosswaite,Australia,85% Dark Bars,05-04-22,"$6,881.00 ",420,$206.43 ,$344.05 ,Dennison,Crosswaite
Andria Kimpton,Canada,Caramel Stuffed Bars,03-01-22,"$7,154.00 ",348,$214.62 ,$357.70 ,Andria,Kimpton
Dennison Crosswaite,UK,Eclairs,24-03-22,"$6,188.00 ",270,$185.64 ,$309.40 ,Dennison,Crosswaite
Madelene Upcott,India,Raspberry Choco,07-07-22,"$4,221.00 ",9,$126.63 ,$211.05 ,Madelene,Upcott
Van Tuxwell,USA,After Nines,26-07-22,$630.00 ,264,$18.90 ,$31.50 ,Van,Tuxwell
Wilone O'Kielt,Australia,Organic Choco Syrup,07-07-22,"$1,743.00 ",111,$52.29 ,$87.15 ,Wilone,O'Kielt
Karlen McCaffrey,Canada,50% Dark Bites,15-07-22,"$2,919.00 ",65,$87.57 ,$145.95 ,Karlen,McCaffrey
Roddy Speechley,New Zealand,Orange Choco,01-04-22,$49.00 ,97,$1.47 ,$2.45 ,Roddy,Speechley
Beverie Moffet,Australia,Eclairs,20-06-22,"$1,827.00 ",6,$54.81 ,$91.35 ,Beverie,Moffet
Kelci Walkden,UK,Fruit & Nut Bars,29-06-22,"$13,006.00 ",482,$390.18 ,$650.30 ,Kelci,Walkden
Marney O'Breen,USA,50% Dark Bites,15-06-22,"$1,064.00 ",106,$31.92 ,$53.20 ,Marney,O'Breen
Husein Augar,USA,After Nines,08-04-22,"$11,571.00 ",180,$347.13 ,$578.55 ,Husein,Augar
Dennison Crosswaite,Australia,Raspberry Choco,14-03-22,"$5,740.00 ",31,$172.20 ,$287.00 ,Dennison,Crosswaite
Andria Kimpton,USA,Fruit & Nut Bars,15-07-22,"$1,456.00 ",359,$43.68 ,$72.80 ,Andria,Kimpton
Kelci Walkden,India,Eclairs,19-04-22,"$5,334.00 ",80,$160.02 ,$266.70 ,Kelci,Walkden
Marney O'Breen,USA,99% Dark & Pure,28-03-22,"$4,151.00 ",296,$124.53 ,$207.55 ,Marney,O'Breen
Brien Boise,Canada,Spicy Special Slims,04-03-22,"$8,106.00 ",101,$243.18 ,$405.30 ,Brien,Boise
Karlen McCaffrey,New Zealand,70% Dark Bites,02-08-22,$126.00 ,40,$3.78 ,$6.30 ,Karlen,McCaffrey
Husein Augar,UK,Spicy Special Slims,25-08-22,"$4,697.00 ",42,$140.91 ,$234.85 ,Husein,Augar
Marney O'Breen,USA,Almond Choco,25-02-22,"$7,798.00 ",167,$233.94 ,$389.90 ,Marney,O'Breen
Kelci Walkden,India,Orange Choco,07-06-22,"$9,408.00 ",138,$282.24 ,$470.40 ,Kelci,Walkden
Jan Morforth,India,Spicy Special Slims,12-04-22,"$1,939.00 ",520,$58.17 ,$96.95 ,Jan,Morforth
Ches Bonnell,India,Spicy Special Slims,06-07-22,"$10,906.00 ",94,$327.18 ,$545.30 ,Ches,Bonnell
Kelci Walkden,UK,Smooth Sliky Salty,19-01-22,"$5,929.00 ",175,$177.87 ,$296.45 ,Kelci,Walkden
Madelene Upcott,Australia,Fruit & Nut Bars,05-01-22,"$5,579.00 ",92,$167.37 ,$278.95 ,Madelene,Upcott
Madelene Upcott,Canada,70% Dark Bites,24-01-22,"$10,927.00 ",141,$327.81 ,$546.35 ,Madelene,Upcott
Wilone O'Kielt,Australia,Drinking Coco,06-04-22,$623.00 ,283,$18.69 ,$31.15 ,Wilone,O'Kielt
Gunar Cockshoot,Australia,Fruit & Nut Bars,15-06-22,"$6,013.00 ",21,$180.39 ,$300.65 ,Gunar,Cockshoot
Gigi Bohling,Canada,Baker's Choco Chips,28-01-22,"$1,505.00 ",47,$45.15 ,$75.25 ,Gigi,Bohling
Kelci Walkden,India,Caramel Stuffed Bars,16-03-22,$476.00 ,125,$14.28 ,$23.80 ,Kelci,Walkden
Rafaelita Blaksland,Australia,Drinking Coco,21-02-22,"$11,550.00 ",396,$346.50 ,$577.50 ,Rafaelita,Blaksland
Kelci Walkden,USA,Manuka Honey Choco,16-02-22,"$17,318.00 ",87,$519.54 ,$865.90 ,Kelci,Walkden
Jehu Rudeforth,Canada,Spicy Special Slims,13-01-22,"$1,848.00 ",27,$55.44 ,$92.40 ,Jehu,Rudeforth
Kelci Walkden,Australia,Eclairs,23-03-22,"$7,273.00 ",547,$218.19 ,$363.65 ,Kelci,Walkden
Curtice Advani,Canada,Spicy Special Slims,16-06-22,$854.00 ,118,$25.62 ,$42.70 ,Curtice,Advani
Oby Sorrel,India,Raspberry Choco,14-04-22,"$6,832.00 ",46,$204.96 ,$341.60 ,Oby,Sorrel
Kelci Walkden,UK,Eclairs,25-01-22,"$4,606.00 ",57,$138.18 ,$230.30 ,Kelci,Walkden
Jan Morforth,India,Almond Choco,11-03-22,"$4,466.00 ",22,$133.98 ,$223.30 ,Jan,Morforth
Dotty Strutley,UK,Almond Choco,28-07-22,"$16,114.00 ",96,$483.42 ,$805.70 ,Dotty,Strutley
Marney O'Breen,New Zealand,After Nines,09-03-22,"$1,561.00 ",44,$46.83 ,$78.05 ,Marney,O'Breen
Husein Augar,Australia,Orange Choco,28-06-22,"$8,897.00 ",188,$266.91 ,$444.85 ,Husein,Augar
Marney O'Breen,Australia,Milk Bars,28-07-22,"$2,464.00 ",387,$73.92 ,$123.20 ,Marney,O'Breen
Kelci Walkden,Canada,99% Dark & Pure,15-08-22,"$4,830.00 ",50,$144.90 ,$241.50 ,Kelci,Walkden
Kaine Padly,Australia,Manuka Honey Choco,12-01-22,"$2,765.00 ",264,$82.95 ,$138.25 ,Kaine,Padly
Beverie Moffet,New Zealand,White Choc,24-03-22,"$7,126.00 ",7,$213.78 ,$356.30 ,Beverie,Moffet
Van Tuxwell,UK,Milk Bars,25-07-22,"$4,263.00 ",90,$127.89 ,$213.15 ,Van,Tuxwell
Oby Sorrel,Canada,99% Dark & Pure,01-08-22,"$3,605.00 ",403,$108.15 ,$180.25 ,Oby,Sorrel
Van Tuxwell,India,Organic Choco Syrup,16-05-22,"$19,929.00 ",174,$597.87 ,$996.45 ,Van,Tuxwell
Roddy Speechley,India,Smooth Sliky Salty,10-08-22,"$5,103.00 ",140,$153.09 ,$255.15 ,Roddy,Speechley
Jan Morforth,India,Eclairs,05-01-22,"$2,541.00 ",27,$76.23 ,$127.05 ,Jan,Morforth
Ches Bonnell,UK,Smooth Sliky Salty,11-07-22,"$5,663.00 ",110,$169.89 ,$283.15 ,Ches,Bonnell
Wilone O'Kielt,USA,After Nines,25-04-22,$392.00 ,30,$11.76 ,$19.60 ,Wilone,O'Kielt
Gigi Bohling,New Zealand,Fruit & Nut Bars,04-04-22,"$10,976.00 ",121,$329.28 ,$548.80 ,Gigi,Bohling
Barr Faughny,USA,Raspberry Choco,12-04-22,"$9,282.00 ",101,$278.46 ,$464.10 ,Barr,Faughny
Wilone O'Kielt,New Zealand,85% Dark Bars,02-08-22,"$1,827.00 ",117,$54.81 ,$91.35 ,Wilone,O'Kielt
Gigi Bohling,New Zealand,Manuka Honey Choco,28-06-22,"$8,267.00 ",272,$248.01 ,$413.35 ,Gigi,Bohling
Ches Bonnell,Australia,Eclairs,05-07-22,"$4,116.00 ",128,$123.48 ,$205.80 ,Ches,Bonnell
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07-06-22,"$2,093.00 ",45,$62.79 ,$104.65 ,Rafaelita,Blaksland
Brien Boise,New Zealand,Smooth Sliky Salty,18-01-22,"$1,015.00 ",27,$30.45 ,$50.75 ,Brien,Boise
Brien Boise,Australia,Baker's Choco Chips,04-01-22,"$12,516.00 ",212,$375.48 ,$625.80 ,Brien,Boise
Dennison Crosswaite,Australia,99% Dark & Pure,31-01-22,"$2,758.00 ",18,$82.74 ,$137.90 ,Dennison,Crosswaite
Kelci Walkden,India,Almond Choco,14-03-22,"$3,297.00 ",149,$98.91 ,$164.85 ,Kelci,Walkden
Camilla Castle,Australia,70% Dark Bites,29-04-22,"$6,048.00 ",477,$181.44 ,$302.40 ,Camilla,Castle
Oby Sorrel,India,Smooth Sliky Salty,07-02-22,"$10,101.00 ",108,$303.03 ,$505.05 ,Oby,Sorrel
Kaine Padly,UK,Organic Choco Syrup,31-03-22,"$2,282.00 ",178,$68.46 ,$114.10 ,Kaine,Padly
Marney O'Breen,India,Caramel Stuffed Bars,16-03-22,"$4,361.00 ",81,$130.83 ,$218.05 ,Marney,O'Breen
Karlen McCaffrey,UK,Eclairs,25-01-22,"$7,798.00 ",196,$233.94 ,$389.90 ,Karlen,McCaffrey
Van Tuxwell,India,Baker's Choco Chips,20-06-22,"$3,052.00 ",447,$91.56 ,$152.60 ,Van,Tuxwell
Gigi Bohling,UK,After Nines,29-03-22,"$8,029.00 ",175,$240.87 ,$401.45 ,Gigi,Bohling
Curtice Advani,Australia,Orange Choco,12-07-22,$854.00 ,136,$25.62 ,$42.70 ,Curtice,Advani
Jehu Rudeforth,Canada,Smooth Sliky Salty,11-07-22,"$5,460.00 ",138,$163.80 ,$273.00 ,Jehu,Rudeforth
Karlen McCaffrey,Canada,Smooth Sliky Salty,19-01-22,"$3,017.00 ",184,$90.51 ,$150.85 ,Karlen,McCaffrey
Andria Kimpton,USA,85% Dark Bars,05-04-22,"$8,911.00 ",82,$267.33 ,$445.55 ,Andria,Kimpton
Jehu Rudeforth,Canada,Milk Bars,21-02-22,"$7,203.00 ",12,$216.09 ,$360.15 ,Jehu,Rudeforth
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-05-22,"$13,083.00 ",14,$392.49 ,$654.15 ,Rafaelita,Blaksland
Mallorie Waber,Australia,Milk Bars,29-07-22,"$2,779.00 ",104,$83.37 ,$138.95 ,Mallorie,Waber
Barr Faughny,USA,Fruit & Nut Bars,28-01-22,"$9,058.00 ",46,$271.74 ,$452.90 ,Barr,Faughny
Marney O'Breen,UK,Caramel Stuffed Bars,19-07-22,"$3,549.00 ",112,$106.47 ,$177.45 ,Marney,O'Breen
Mallorie Waber,New Zealand,Manuka Honey Choco,13-04-22,"$9,436.00 ",11,$283.08 ,$471.80 ,Mallorie,Waber
Roddy Speechley,India,Peanut Butter Cubes,11-02-22,"$10,283.00 ",21,$308.49 ,$514.15 ,Roddy,Speechley
Roddy Speechley,New Zealand,Milk Bars,02-03-22,"$5,446.00 ",116,$163.38 ,$272.30 ,Roddy,Speechley
Ches Bonnell,Australia,White Choc,02-03-22,"$1,043.00 ",202,$31.29 ,$52.15 ,Ches,Bonnell
Van Tuxwell,USA,99% Dark & Pure,28-07-22,"$12,586.00 ",6,$377.58 ,$629.30 ,Van,Tuxwell
Kelci Walkden,India,After Nines,07-01-22,"$1,687.00 ",520,$50.61 ,$84.35 ,Kelci,Walkden
Brien Boise,UK,White Choc,12-04-22,"$5,299.00 ",167,$158.97 ,$264.95 ,Brien,Boise
Van Tuxwell,Canada,Almond Choco,27-06-22,"$3,213.00 ",72,$96.39 ,$160.65 ,Van,Tuxwell
Jehu Rudeforth,Australia,50% Dark Bites,14-01-22,"$5,194.00 ",418,$155.82 ,$259.70 ,Jehu,Rudeforth
Karlen McCaffrey,UK,Baker's Choco Chips,07-02-22,"$4,753.00 ",389,$142.59 ,$237.65 ,Karlen,McCaffrey
Jehu Rudeforth,Australia,Orange Choco,23-03-22,"$13,706.00 ",26,$411.18 ,$685.30 ,Jehu,Rudeforth
Marney O'Breen,India,Peanut Butter Cubes,10-01-22,"$6,489.00 ",146,$194.67 ,$324.45 ,Marney,O'Breen
Oby Sorrel,UK,Choco Coated Almonds,17-03-22,"$9,324.00 ",41,$279.72 ,$466.20 ,Oby,Sorrel
Gigi Bohling,USA,Spicy Special Slims,21-01-22,"$10,829.00 ",54,$324.87 ,$541.45 ,Gigi,Bohling
Barr Faughny,Australia,White Choc,04-07-22,"$8,113.00 ",370,$243.39 ,$405.65 ,Barr,Faughny
Kaine Padly,Canada,Peanut Butter Cubes,04-07-22,"$3,269.00 ",176,$98.07 ,$163.45 ,Kaine,Padly
Dotty Strutley,USA,Manuka Honey Choco,10-08-22,$273.00 ,210,$8.19 ,$13.65 ,Dotty,Strutley
Dennison Crosswaite,Australia,50% Dark Bites,01-04-22,"$7,287.00 ",12,$218.61 ,$364.35 ,Dennison,Crosswaite
Gigi Bohling,India,Raspberry Choco,22-02-22,"$2,583.00 ",159,$77.49 ,$129.15 ,Gigi,Bohling
Camilla Castle,UK,White Choc,03-01-22,"$9,982.00 ",187,$299.46 ,$499.10 ,Camilla,Castle
Karlen McCaffrey,India,Drinking Coco,31-05-22,"$4,795.00 ",233,$143.85 ,$239.75 ,Karlen,McCaffrey
Dotty Strutley,UK,99% Dark & Pure,03-01-22,"$9,310.00 ",282,$279.30 ,$465.50 ,Dotty,Strutley
Husein Augar,New Zealand,Caramel Stuffed Bars,27-01-22,$497.00 ,475,$14.91 ,$24.85 ,Husein,Augar
Barr Faughny,UK,50% Dark Bites,28-01-22,$581.00 ,65,$17.43 ,$29.05 ,Barr,Faughny
Curtice Advani,Australia,Organic Choco Syrup,28-06-22,"$3,472.00 ",311,$104.16 ,$173.60 ,Curtice,Advani
Husein Augar,UK,Choco Coated Almonds,02-03-22,"$4,333.00 ",43,$129.99 ,$216.65 ,Husein,Augar
Wilone O'Kielt,Australia,After Nines,27-05-22,"$3,325.00 ",26,$99.75 ,$166.25 ,Wilone,O'Kielt
Dennison Crosswaite,USA,Almond Choco,30-06-22,"$11,718.00 ",84,$351.54 ,$585.90 ,Dennison,Crosswaite
Barr Faughny,Canada,Peanut Butter Cubes,07-06-22,"$2,100.00 ",78,$63.00 ,$105.00 ,Barr,Faughny
Kaine Padly,USA,70% Dark Bites,12-05-22,"$4,018.00 ",100,$120.54 ,$200.90 ,Kaine,Padly
Barr Faughny,New Zealand,Raspberry Choco,29-07-22,"$6,468.00 ",66,$194.04 ,$323.40 ,Barr,Faughny
Dennison Crosswaite,UK,White Choc,03-08-22,"$7,238.00 ",265,$217.14 ,$361.90 ,Dennison,Crosswaite
Barr Faughny,India,Baker's Choco Chips,18-08-22,"$6,454.00 ",141,$193.62 ,$322.70 ,Barr,Faughny
Van Tuxwell,New Zealand,Smooth Sliky Salty,14-06-22,"$3,115.00 ",42,$93.45 ,$155.75 ,Van,Tuxwell
Beverie Moffet,UK,White Choc,30-06-22,"$6,475.00 ",76,$194.25 ,$323.75 ,Beverie,Moffet
Camilla Castle,New Zealand,Mint Chip Choco,13-06-22,"$1,162.00 ",190,$34.86 ,$58.10 ,Camilla,Castle
Ches Bonnell,UK,Orange Choco,27-04-22,"$14,238.00 ",54,$427.14 ,$711.90 ,Ches,Bonnell
Jan Morforth,Australia,White Choc,27-07-22,"$3,472.00 ",32,$104.16 ,$173.60 ,Jan,Morforth
Mallorie Waber,Canada,85% Dark Bars,20-04-22,"$1,428.00 ",424,$42.84 ,$71.40 ,Mallorie,Waber
Rafaelita Blaksland,India,Spicy Special Slims,04-01-22,"$8,064.00 ",134,$241.92 ,$403.20 ,Rafaelita,Blaksland
Ches Bonnell,Australia,Mint Chip Choco,21-02-22,"$9,660.00 ",92,$289.80 ,$483.00 ,Ches,Bonnell
Karlen McCaffrey,Australia,White Choc,05-01-22,"$7,357.00 ",48,$220.71 ,$367.85 ,Karlen,McCaffrey
Beverie Moffet,India,Drinking Coco,15-07-22,"$6,055.00 ",46,$181.65 ,$302.75 ,Beverie,Moffet
Brien Boise,Australia,Choco Coated Almonds,25-05-22,"$5,124.00 ",62,$153.72 ,$256.20 ,Brien,Boise
Karlen McCaffrey,Canada,Eclairs,20-04-22,"$3,479.00 ",358,$104.37 ,$173.95 ,Karlen,McCaffrey
Gigi Bohling,USA,99% Dark & Pure,02-06-22,$784.00 ,249,$23.52 ,$39.20 ,Gigi,Bohling
Marney O'Breen,UK,Smooth Sliky Salty,13-05-22,"$18,991.00 ",88,$569.73 ,$949.55 ,Marney,O'Breen
Beverie Moffet,New Zealand,Baker's Choco Chips,03-08-22,"$1,372.00 ",144,$41.16 ,$68.60 ,Beverie,Moffet
Beverie Moffet,Australia,Milk Bars,25-05-22,$735.00 ,390,$22.05 ,$36.75 ,Beverie,Moffet
Van Tuxwell,UK,Raspberry Choco,16-03-22,"$6,538.00 ",79,$196.14 ,$326.90 ,Van,Tuxwell
Jan Morforth,Australia,Orange Choco,04-07-22,"$3,199.00 ",122,$95.97 ,$159.95 ,Jan,Morforth
Jehu Rudeforth,India,50% Dark Bites,05-07-22,"$3,472.00 ",135,$104.16 ,$173.60 ,Jehu,Rudeforth
